0 1:-1.088 2:0.50074 
0 1:0.287 2:0.082631 
0 1:1.1339 2:0.068759 
0 1:0.054725 2:0.94511 
0 1:-0.62259 2:0.75265 
0 1:0.92678 2:-0.72638 
0 1:2.1415 2:0.28994 
0 1:0.24638 2:0.93482 
0 1:1.8359 2:-0.34835 
0 1:1.1619 2:0.02537 
0 1:-0.34207 2:0.69865 
0 1:2.2639 2:0.30825 
0 1:2.4425 2:0.2539 
0 1:-0.84232 2:0.068618 
0 1:2.1724 2:-0.15328 
0 1:2.3813 2:0.036194 
0 1:0.36468 2:-0.16632 
0 1:-1.0746 2:0.29964 
0 1:1.0763 2:0.18764 
0 1:-1.0106 2:0.53372 
0 1:1.0875 2:0.3112 
0 1:0.79061 2:0.4605 
0 1:0.19817 2:-0.17146 
0 1:0.83709 2:0.65033 
0 1:0.1398 2:1.1809 
0 1:1.8913 2:-0.056062 
0 1:1.9402 2:0.49086 
0 1:0.69608 2:-0.40395 
0 1:0.10629 2:1.0467 
0 1:-0.91505 2:0.49126 
0 1:-1.1703 2:0.23591 
0 1:0.18846 2:0.97761 
0 1:-0.31902 2:0.95181 
0 1:0.2699 2:-0.12417 
0 1:0.41302 2:-0.18393 
0 1:1.9698 2:-0.09129 
0 1:0.26768 2:-0.07757 
0 1:1.2721 2:-0.43639 
0 1:-0.64787 2:0.91038 
0 1:2.0137 2:0.1199 
0 1:1.01 2:0.72821 
0 1:1.2517 2:0.39912 
0 1:0.6642 2:0.88341 
0 1:2.1066 2:-0.16694 
0 1:0.43111 2:0.86925 
0 1:1.0013 2:0.34149 
0 1:0.86636 2:-0.40639 
0 1:2.4112 2:0.15132 
0 1:-0.75038 2:0.52199 
0 1:-0.8105 2:0.90343 
0 1:-1.0504 2:0.46094 
0 1:0.068952 2:0.40076 
0 1:-1.3824 2:0.016367 
0 1:1.5147 2:-0.50253 
0 1:2.0605 2:-0.42639 
0 1:-1.2341 2:0.39618 
0 1:0.17675 2:0.15122 
0 1:0.22312 2:0.032437 
0 1:2.2694 2:0.057664 
0 1:-0.38634 2:0.791 
0 1:0.68847 2:0.8769 
0 1:-0.80388 2:0.84391 
0 1:1.8101 2:-0.26475 
0 1:0.80154 2:0.73472 
0 1:-0.019103 2:0.30323 
0 1:-0.33752 2:0.90269 
0 1:0.6244 2:0.84278 
0 1:0.77568 2:0.3518 
0 1:1.6635 2:-0.1776 
0 1:0.77439 2:-0.50928 
0 1:-0.94316 2:0.44491 
0 1:1.6626 2:-0.36139 
0 1:0.29119 2:0.94395 
0 1:0.49245 2:1.052 
0 1:-0.79415 2:0.61164 
0 1:0.155 2:0.94733 
0 1:1.59 2:-0.45055 
0 1:-0.78419 2:0.51201 
0 1:0.43188 2:-0.21897 
0 1:1.1345 2:0.032674 
0 1:0.011373 2:0.39295 
0 1:0.14653 2:-0.13204 
0 1:0.60279 2:0.68191 
0 1:1.299 2:0.050207 
0 1:0.34949 2:1.0786 
0 1:0.49437 2:1.0572 
0 1:1.6197 2:-0.3213 
0 1:0.88803 2:-0.45365 
0 1:2.1885 2:0.24113 
0 1:1.1261 2:0.11495 
0 1:1.789 2:-0.11086 
0 1:0.083089 2:0.40073 
0 1:-0.64319 2:0.59751 
0 1:-0.30988 2:1.1888 
0 1:0.28192 2:0.98926 
0 1:-1.1341 2:0.42276 
0 1:1.264 2:-0.60024 
0 1:0.92384 2:-0.47076 
0 1:1.0559 2:0.55742 
0 1:-1.0805 2:0.34892 
0 1:2.2399 2:-0.041122 
0 1:1.0095 2:0.037579 
0 1:-1.09 2:0.35141 
0 1:1.2115 2:0.57165 
0 1:2.3173 2:0.011266 
0 1:0.95747 2:0.16762 
0 1:0.42603 2:0.0032356 
0 1:-0.59527 2:1.039 
0 1:0.50444 2:-0.025577 
0 1:0.98925 2:0.35663 
0 1:0.80752 2:-0.50275 
0 1:1.0751 2:0.020097 
0 1:-0.052974 2:0.94789 
0 1:0.26998 2:0.33273 
0 1:0.81365 2:0.56692 
0 1:2.292 2:0.17863 
0 1:1.0681 2:0.53847 
0 1:1.3074 2:-0.62472 
0 1:1.0303 2:0.3828 
0 1:1.7173 2:-0.28393 
0 1:2.3869 2:0.21243 
0 1:1.0442 2:0.29061 
1 1:0.5876 2:0.73216 
0 1:1.6473 2:-0.36901 
0 1:2.0402 2:-0.34814 
0 1:0.11948 2:0.031818 
0 1:1.0201 2:0.54572 
0 1:1.2859 2:-0.36764 
0 1:0.027617 2:0.93396 
0 1:0.95198 2:0.56487 
0 1:2.2076 2:-0.29606 
0 1:0.94929 2:0.010776 
0 1:2.0469 2:0.047667 
0 1:-0.70646 2:0.81217 
0 1:1.4354 2:-0.26443 
0 1:-0.64756 2:0.78003 
0 1:2.2112 2:-0.071484 
0 1:1.9113 2:-0.10941 
0 1:1.3561 2:-0.49709 
0 1:1.1548 2:0.12379 
0 1:0.069284 2:0.90689 
-1 1:1.532 2:-0.51696 
0 1:2.5339 2:0.45408 
0 1:0.95864 2:0.021793 
0 1:0.095081 2:0.29696 
0 1:0.79672 2:0.83228 
0 1:0.20103 2:-0.20849 
0 1:1.1633 2:-0.49543 
0 1:1.5989 2:-0.29652 
0 1:-1.0886 2:0.1312 
0 1:-0.64128 2:0.81873 
0 1:0.29986 2:-0.076197 
0 1:0.25172 2:0.13341 
0 1:2.3532 2:0.41253 
0 1:0.69475 2:0.76147 
0 1:0.48195 2:1.0381 
0 1:1.168 2:0.10842 
0 1:-0.75744 2:0.58899 
0 1:1.3273 2:-0.29937 
0 1:1.9486 2:-0.16346 
0 1:0.013545 2:0.8877 
0 1:-0.079915 2:1.0161 
0 1:1.7954 2:-0.48771 
0 1:-1.1385 2:0.20283 
0 1:1.7779 2:-0.29308 
0 1:0.62015 2:-0.33771 
0 1:0.094553 2:0.057927 
0 1:1.6533 2:-0.50443 
0 1:0.11317 2:0.36307 
0 1:0.61293 2:-0.39069 
0 1:0.39127 2:-0.27587 
0 1:0.46797 2:0.94118 
0 1:1.1163 2:0.14178 
0 1:0.8262 2:0.61845 
0 1:0.6851 2:0.83962 
0 1:0.84202 2:-0.29835 
0 1:2.1819 2:0.43037 
0 1:-1.0265 2:0.40372 
0 1:1.9156 2:-0.42355 
0 1:-0.15292 2:0.8168 
0 1:-1.0824 2:0.3345 
0 1:0.37265 2:0.80963 
0 1:0.57589 2:-0.31332 
0 1:0.72941 2:-0.21652 
0 1:0.44502 2:-0.30129 
0 1:0.2051 2:1.0819 
0 1:0.22362 2:0.097371 
0 1:0.42535 2:0.84898 
0 1:0.57156 2:0.73532 
0 1:2.0422 2:-0.29587 
0 1:-1.0793 2:0.12446 
0 1:1.0599 2:0.58226 
0 1:0.91096 2:-0.35317 
0 1:2.2781 2:0.31384 
0 1:0.096838 2:0.47983 
0 1:0.88904 2:-0.61799 
0 1:0.98028 2:0.71375 
0 1:1.7885 2:-0.20655 
0 1:0.97195 2:0.53263 
0 1:0.58241 2:0.8382 
