1 1:1 2:0 3:1 4:-0.0373 5:1 6:-0.07383 7:0.99601 8:-0.11039 9:0.99838 10:-0.09931 11:0.98941 12:-0.13814 13:0.96674 14:-0.21695 15:0.95288 16:-0.25099 17:0.91236 18:-0.344 19:0.90581 20:-0.32152 21:0.89991 22:-0.34691 23:0.87874 24:-0.37643 25:0.86213 26:-0.4299 27:0.83172 28:-0.43122 29:0.81433 30:-0.42593 31:0.77919 32:-0.47977 33:0.75115 34:-0.50152 
1 1:1 2:0 3:0.83479 4:0.28993 5:0.69256 6:0.47702 7:0.49234 8:0.68381 9:0.21991 10:0.86761 11:-0.08096 12:0.85011 13:-0.35558 14:0.77681 15:-0.52735 16:0.58425 17:-0.7035 18:0.31291 19:-0.75821 20:0.03939 21:-0.71225 22:-0.15317 23:-0.58315 24:-0.39168 25:-0.37199 26:-0.52954 27:-0.1695 28:-0.60863 29:0.08425 30:-0.61488 31:0.25164 32:-0.48468 33:0.40591 34:-0.35339 
1 1:1 2:0 3:0.87032 4:0.46972 5:0.53945 6:0.82161 7:0.1038 8:0.95275 9:-0.38033 10:0.87916 11:-0.73939 12:0.58226 13:-0.92099 14:0.16731 15:-0.82417 16:-0.24942 17:-0.59383 18:-0.63342 19:-0.24012 20:-0.82881 21:0.18823 22:-0.78699 23:0.51557 24:-0.5743 25:0.69274 26:-0.24843 27:0.69097 28:0.10484 29:0.52798 30:0.39762 31:0.25974 32:0.56573 33:-0.06739 34:0.57552 
1 1:1 2:0 3:0.83427 4:0.39121 5:0.5404 6:0.78579 7:0.12326 8:0.89402 9:-0.33221 10:0.83578 11:-0.70086 12:0.59564 13:-0.86622 14:0.21909 15:-0.84442 16:-0.24164 17:-0.59714 18:-0.61894 19:-0.19354 20:-0.87787 21:0.12439 22:-0.89064 23:0.51109 24:-0.72454 25:0.79143 26:-0.27734 27:0.83008 28:0.08718 29:0.66592 30:0.49079 31:0.37542 32:0.70011 33:-0.03983 34:0.79444 
1 1:1 2:0 3:0.82254 4:-0.07572 5:0.80462 6:0.00231 7:0.87514 8:-0.01214 9:0.86821 10:-0.07514 11:0.72832 12:-0.11734 13:0.84624 14:0.05029 15:0.83121 16:-0.07399 17:0.74798 18:0.06705 19:0.78324 20:0.06358 21:0.86763 22:-0.0237 23:0.78844 24:-0.06012 25:0.74451 26:-0.0237 27:0.76717 28:-0.02731 29:0.74046 30:-0.0763 31:0.70058 32:-0.0422 33:0.78439 34:0.01214 
1 1:1 2:0 3:1 4:0.09771 5:1 6:0.12197 7:1 8:0.22574 9:0.98602 10:0.09237 11:0.9493 12:0.19211 13:0.92992 14:0.24288 15:0.89241 16:0.28343 17:0.85529 18:0.26721 19:0.83656 20:0.33129 21:0.83393 22:0.31698 23:0.74829 24:0.39597 25:0.76193 26:0.34658 27:0.68452 28:0.42746 29:0.62764 30:0.46031 31:0.56791 32:0.47033 33:0.54252 34:0.50903 
1 1:1 2:0 3:1 4:0.23395 5:0.91404 6:0.52013 7:0.7802 8:0.72144 9:0.4766 10:0.84222 11:0.27639 12:0.9173 13:0.09467 14:0.88248 15:-0.2198 16:0.91404 17:-0.34168 18:0.75517 19:-0.5136 20:0.64527 21:-0.64527 22:0.44614 23:-0.74102 24:0.29162 25:-0.70838 26:0.03591 27:-0.71731 28:-0.11943 29:-0.64962 30:-0.28183 31:-0.51251 32:-0.44505 33:-0.37432 34:-0.53319 
1 1:1 2:0 3:0.94653 4:0.28713 5:0.72554 6:0.67248 7:0.47564 8:0.82455 9:0.01267 10:0.89109 11:-0.24871 12:0.84475 13:-0.47644 14:0.56079 15:-0.75881 16:0.41743 17:-0.66455 18:0.07208 19:-0.65426 20:-0.19525 21:-0.52475 22:-0.44 23:-0.30851 24:-0.55089 25:-0.04119 26:-0.64792 27:0.16085 28:-0.5642 29:0.36752 30:-0.41901 31:0.46059 32:-0.22535 33:0.50376 34:-0.0598 
1 1:1 2:0 3:0.91667 4:0.29167 5:0.83333 6:-0.16667 7:0.70833 8:0.25 9:0.875 10:-0.08333 11:0.91667 12:0.04167 13:0.83333 14:0.125 15:0.70833 16:0 17:0.875 18:0.04167 19:1 20:0.08333 21:0.66667 22:-0.08333 23:0.75 24:0.16667 25:0.83333 26:-0.125 27:0.83796 28:0.05503 29:1 30:0.20833 31:0.70833 32:0 33:0.70833 34:0.04167 
1 1:1 2:0 3:0.61857 4:0.1085 5:0.70694 6:-0.06935 7:0.70358 8:0.01678 9:0.74273 10:0.00224 11:0.71029 12:0.15772 13:0.71588 14:-0.00224 15:0.79754 16:0.066 17:0.83669 18:-0.16555 19:0.6868 20:-0.0906 21:0.62528 22:-0.01342 23:0.60962 24:0.11745 25:0.71253 26:-0.09508 27:0.69845 28:-0.01673 29:0.63311 30:0.0481 31:0.78859 32:-0.05145 33:0.65213 34:-0.04698 
